name,category,strength,weight,cost,temp_limit,corrosion,hardness,ductility,thermal_conductivity,electrical_conductivity,availability,use_cases,recyclability,workability,fatigue_resistance,impact_resistance,sustainability_score
Steel,Metal,500,7.8,50,500,6,7,5,50,10,9,"Construction, tools, automotive",10,7,8,6,85
Stainless Steel,Metal,600,7.9,100,600,10,8,6,16,6,8,"Kitchen, medical, marine",8,6,8,5,80
Aluminum,Metal,300,2.7,70,300,8,5,8,200,35,9,"Aerospace, packaging, vehicles",9,8,6,7,88
Titanium,Metal,900,4.5,150,600,9,9,7,20,2,6,"Aerospace, implants, sports",7,4,9,8,75
Copper,Metal,200,8.9,80,250,8,4,8,400,58,8,"Electrical, plumbing, electronics",9,9,5,6,90
Brass,Metal,250,8.5,90,300,7,5,7,120,15,7,"Plumbing, decorative, instruments",8,9,5,5,82
Bronze,Metal,300,8.8,110,300,8,6,5,50,5,6,"Sculptures, bearings, marine",7,8,6,4,78
Magnesium,Metal,200,1.7,120,200,6,4,6,160,22,7,"Aerospace, automotive, portable",6,8,5,4,70
Cast Iron,Metal,400,7.2,40,450,5,6,2,50,10,9,"Engine blocks, cookware, construction",9,5,7,8,80
Nickel Alloy,Metal,750,8.2,180,700,10,9,8,10,5,5,"Jet engines, turbines, chemical",6,4,9,7,72
Carbon Fiber,Composite,800,1.6,250,350,9,9,3,10,0.1,4,"Aerospace, sports, automotive",3,3,9,6,55
Glass Fiber,Composite,350,2.0,60,200,9,3,2,0.3,0,8,"Boats, insulation, construction",2,5,6,4,48
Kevlar,Composite,700,1.4,200,300,9,7,4,0.04,0,5,"Vests, aerospace, cables",2,3,8,8,50
Epoxy Composite,Composite,300,1.8,80,120,8,5,3,0.3,0,7,"Electronics, aerospace, construction",2,4,5,3,45
Fiberglass,Composite,350,2.1,70,150,9,4,2,0.2,0,8,"Automotive, marine, aerospace",2,5,6,4,48
Aluminum Alloy 6061,Metal,300,2.7,75,300,8,5,8,200,35,9,"Structural, aerospace, automotive",9,8,6,7,88
Aluminum Alloy 7075,Metal,350,2.8,85,300,7,5,7,180,30,8,"Aircraft structures",8,6,7,6,85
Titanium Grade 2,Metal,850,4.5,160,600,9,8,8,20,2,7,"Medical implants, aerospace",7,4,9,8,75
Tungsten,Metal,800,19.3,200,3400,9,9,1,170,20,5,"High-temp, filaments, electronics",7,2,8,3,68
Molybdenum,Metal,650,10.2,180,2600,8,8,2,140,32,6,"High-temp components, electronics",8,3,8,3,72
PET Plastic,Polymer,50,1.4,10,80,7,2,1,0.2,0,9,"Bottles, packaging, textiles",8,8,3,2,75
ABS Plastic,Polymer,60,1.1,15,100,6,2,2,0.2,0,9,"Automotive, electronics, toys",5,8,2,3,60
Polycarbonate,Polymer,70,1.2,25,120,5,3,2,0.2,0,8,"Windows, protective gear, electronics",4,7,3,4,58
Polyamide (Nylon),Polymer,90,1.1,20,150,7,3,3,0.25,0,8,"Textiles, automotive, mechanical",6,8,4,3,65
Natural Rubber,Polymer,20,0.9,30,60,7,1,9,0.15,0,7,"Tires, seals, vibration damping",7,9,3,8,72
Synthetic Rubber,Polymer,25,1.1,35,80,8,2,8,0.2,0,8,"Seals, gaskets, high-temp",5,8,3,7,62
Borosilicate Glass,Ceramic,150,2.5,60,200,9,3,0,1.4,0,9,"Lab equipment, cookware, pharma",9,4,4,2,80
Tempered Glass,Ceramic,160,2.5,70,220,9,4,0,1.4,0,8,"Windows, safety glass, touchscreens",8,3,4,6,78
Alumina Ceramic,Ceramic,400,3.9,120,2000,10,9,1,25,0,6,"Abrasives, refractories, electronics",6,2,7,3,65
Silicon Carbide,Ceramic,450,3.2,150,2700,10,9,1,100,0,5,"Semiconductors, high-temp",5,1,8,2,58
Concrete,Ceramic,30,2.4,5,400,5,3,0,1.4,0,10,"Building, construction, civil",3,6,3,1,40
Marble,Ceramic,100,2.7,80,900,8,5,0,2.5,0,7,"Sculptures, flooring, architectural",7,4,2,1,62
Granite,Ceramic,150,2.75,100,1000,9,5,0,2.5,0,8,"Countertops, paving, monuments",6,3,3,2,60
Cork,Composite,5,0.3,20,100,7,1,8,0.04,0,8,"Insulation, flooring, wine",9,9,2,7,85
Bamboo,Composite,100,0.7,30,150,6,4,6,0.1,0,8,"Construction, furniture, textiles",10,9,5,5,92
Oak Wood,Composite,110,0.75,40,200,4,5,5,0.2,0,9,"Furniture, construction, flooring",10,8,4,4,90
Pine Wood,Composite,80,0.5,20,180,3,4,6,0.12,0,9,"Construction, furniture, paper",10,8,3,3,88
Leather,Composite,60,1.0,80,100,6,3,7,0.1,0,7,"Fashion, furniture, sports",7,7,3,6,72
Wool,Polymer,40,1.3,60,150,5,2,8,0.04,0,8,"Textiles, insulation, clothing",9,8,2,5,82
Graphene,Composite,1000,2.2,300,1000,10,10,4,5000,100,2,"Electronics, aerospace, energy",3,2,10,7,50
Aerogel,Composite,10,0.16,200,200,8,2,1,0.014,0,3,"Insulation, space, sensors",2,1,1,2,35
Silicone,Polymer,30,1.1,40,200,9,1,8,0.3,0,8,"Seals, adhesives, medical",4,7,2,6,55
Neoprene,Polymer,50,1.2,45,80,8,2,7,0.2,0,8,"Wetsuits, gaskets, damping",5,7,3,6,60
Polyurethane,Polymer,70,1.2,35,120,7,2,6,0.2,0,8,"Foam, adhesives, elastomers",4,8,3,7,58
PTFE (Teflon),Polymer,30,2.2,50,260,10,2,2,0.2,0,7,"Non-stick, seals, insulation",3,6,2,2,45
Aramid (Nomex),Polymer,80,1.4,100,260,9,4,3,0.04,0,6,"Thermal protection, aerospace",2,2,8,7,48
High-Strength Steel,Metal,700,7.85,120,550,6,8,4,50,10,7,"Heavy machinery, vessels",10,5,9,5,82
Spring Steel,Metal,550,7.8,60,500,6,8,3,50,10,8,"Springs, tools, machinery",10,6,9,4,83
Tool Steel,Metal,600,7.75,90,400,5,9,2,50,10,6,"Cutting tools, dies, instruments",8,4,8,2,75
Inconel (Superalloy),Metal,800,8.2,200,800,10,9,5,15,5,4,"Jet engines, high-temp, reactors",6,3,9,6,70
Nickel-Titanium (Nitinol),Metal,400,6.5,180,400,10,5,10,20,1,4,"Medical implants, actuators",5,3,7,8,62
Bulk Metallic Glass,Metal,500,5.0,160,500,10,8,1,5,0.001,2,"Sports equipment, electronics",4,2,6,4,55
Aluminum-Lithium Alloy,Metal,400,2.6,140,350,8,6,7,150,30,5,"Advanced aircraft structures",8,6,7,6,82
Magnesium Alloy AZ91D,Metal,220,1.8,130,200,6,4,5,150,20,6,"Automotive, portable devices",6,7,5,4,68
Nylon 66,Polymer,100,1.15,25,160,6,3,3,0.2,0,8,"Engineering plastics, textiles",6,8,4,3,65
PVC Plastic,Polymer,70,1.4,12,80,8,2,2,0.15,0,9,"Pipes, flooring, insulation",5,8,2,2,58
Titanium Alloy Ti-6Al-4V,Metal,880,4.54,160,595,9,9,7,20,2,7,"Aerospace, medical, automotive",7,4,9,8,76
Phosphor Bronze,Metal,350,8.7,130,350,8,5,6,60,10,6,"Springs, bearings, fasteners",8,7,7,5,78
Tungsten Carbide,Metal,900,15.6,220,2700,10,9,2,100,15,4,"Cutting tools, drilling, mining",6,1,8,2,62
Zirconium,Metal,200,6.5,180,1850,10,5,8,22,3,4,"Reactors, chemical processing",6,3,6,5,65
Lead,Metal,150,11.4,30,220,7,2,10,35,5,7,"Radiation shielding, batteries, weights",8,8,3,7,70
Zinc,Metal,200,7.1,25,300,5,3,7,115,17,8,"Galvanizing, alloys, die-casting",9,8,5,5,82
Polypropylene,Polymer,55,0.9,8,120,6,2,3,0.12,0,9,"Containers, automotive, textiles",7,8,2,3,70
Polystyrene,Polymer,40,1.05,6,80,5,2,1,0.1,0,9,"Packaging, insulation, disposables",5,7,1,2,55
Polyethylene (HDPE),Polymer,35,0.95,5,120,7,1,10,0.4,0,10,"Bottles, bags, containers",8,8,3,6,78
PEEK Plastic,Polymer,100,1.32,50,250,8,3,3,0.25,0,6,"Medical, aerospace, electronics",4,6,5,4,58
Acrylic,Polymer,80,1.19,20,70,6,3,2,0.2,0,8,"Windows, signs, jewelry, displays",5,7,2,3,60
Polyetherimide (PEI),Polymer,95,1.27,45,180,8,4,2,0.22,0,6,"Aerospace, medical, automotive",4,5,5,3,56
Thermoplastic Polyurethane,Polymer,65,1.2,30,120,8,2,8,0.25,0,7,"Flexible films, adhesives, coatings",5,8,4,7,62
Carbon Steel,Metal,550,7.85,45,450,5,6,6,50,10,10,"Pipes, structural, machinery",10,7,8,6,85
Alloy Steel,Metal,650,7.85,90,600,6,7,5,50,10,8,"Components, machinery, tools",9,6,9,5,82
Stainless Steel 304,Metal,620,8.0,110,720,10,8,6,16,6,8,"Medical, sanitary, food processing",8,6,8,5,80
Stainless Steel 316,Metal,630,8.0,140,720,10,8,7,16,5,7,"Marine, harsh chemical, medical",8,5,8,6,80
Duplex Stainless Steel,Metal,700,7.8,180,560,10,8,8,14,5,6,"Offshore, chemical, heat exchangers",8,4,9,6,78
Alloy 600,Metal,750,8.4,250,980,10,9,5,12,4,4,"Nuclear, high-temp, steam generators",6,3,9,7,72
Alloy 625,Metal,780,8.4,280,1000,10,9,4,10,3,3,"Aerospace, marine, high-temp",6,2,9,7,70
Alloy 718,Metal,820,8.2,320,1050,9,9,6,11,4,3,"Jet engines, turbines, reactors",6,2,9,8,70
Hastelloy C,Metal,800,8.9,300,1100,10,8,5,10,3,2,"Chemical processing, high-temp",5,2,8,6,68
Invar,Metal,300,8.0,200,400,7,4,7,12,2,3,"Precision instruments, pipelines",5,5,4,3,58
Super Invar,Metal,300,8.1,250,350,7,4,6,10,1,2,"Precision equipment, cryogenics",4,4,4,2,55
Cast Aluminum,Metal,200,2.7,60,300,7,4,3,160,20,8,"Engine blocks, machinery, art",8,6,4,3,75
Aluminum Bronze,Metal,380,7.5,140,400,9,6,8,70,12,5,"Bushings, bearings, marine",7,7,7,5,75
Beryllium Copper,Metal,450,8.1,120,350,8,7,5,120,30,4,"Electronics, tools, connectors",5,5,7,4,62
Phosphor Bronze,Metal,350,8.7,130,350,8,5,6,60,10,6,"Springs, bearings, fasteners",8,7,7,5,78
Linear Low-Density Polyethylene,Polymer,20,0.92,6,100,6,1,10,0.33,0,9,"Films, containers, bags",8,8,2,6,78
Ultra-High-Molecular-Weight PE,Polymer,50,0.94,25,120,7,1,15,0.4,0,7,"Wear parts, gears, medical",7,6,3,9,75
Liquid Crystal Polymer,Polymer,140,1.4,80,330,9,4,1,0.3,0,4,"Electronics, aerospace, automotive",3,3,7,2,50
Ethylene Propylene Diene Monomer,Polymer,35,1.1,40,150,8,2,6,0.2,0,7,"Seals, gaskets, roofing",6,7,3,6,65
Chloroprene Rubber,Polymer,45,1.2,50,100,8,2,7,0.2,0,6,"Flexible hose, seals, wetsuits",6,8,2,7,65
Polyurethane Foam,Polymer,5,0.02,15,80,6,1,1,0.02,0,8,"Cushioning, insulation, packing",5,7,1,3,58
Phenolic Resin,Polymer,100,1.3,30,200,7,5,1,0.1,0,7,"Thermal insulation, electricals",4,4,3,1,50
Epoxy Resin,Polymer,80,1.2,40,120,8,4,2,0.2,0,7,"Coatings, adhesives, composites",3,4,4,2,48
Urea-Formaldehyde Resin,Polymer,70,1.3,20,150,6,4,1,0.15,0,8,"Plywood, MDF, adhesives",4,5,2,1,48
Melamine-Formaldehyde,Polymer,90,1.5,25,160,7,5,1,0.2,0,7,"Laminates, tableware, coatings",4,4,3,1,50
Bio-based PLA (Polylactic Acid),Polymer,60,1.25,18,60,5,3,3,0.1,0,7,"Biodegradable packaging, textiles",9,8,2,2,85
Polylactic Acid (3D Printing),Polymer,50,1.24,15,50,4,2,4,0.1,0,8,"3D printing, prototyping",9,8,2,3,85
Cork-Rubber Composite,Composite,15,0.4,35,120,8,2,7,0.06,0,7,"Vibration damping, insulation",10,8,3,6,90
Natural Fiber Composite,Composite,80,1.2,25,100,6,3,5,0.1,0,8,"Automotive, consumer goods",9,8,4,4,88
Recycled Plastic Composite,Composite,50,1.3,12,80,6,2,3,0.15,0,8,"Decking, fencing, automotive",10,7,2,3,85
Cork Composite,Composite,20,0.5,30,110,8,2,8,0.05,0,7,"Flooring, insulation",9,8,2,6,88
